date,year,month,price_real_mon_cattle,price_cattle
1990-01-01,1990,1,201.8755938914027,1.5196e-4
1990-02-01,1990,2,196.83383524158128,2.57793e-4
1990-03-01,1990,3,181.65869039451115,4.33109e-4
1990-04-01,1990,4,147.6440960474308,3.87131e-4
1990-05-01,1990,5,156.34447858746248,4.50658e-4
1990-06-01,1990,6,193.027774888404,5.97142e-4
1990-07-01,1990,7,194.26240302698315,6.70513e-4
1990-08-01,1990,8,193.43674310410483,7.54095e-4
1990-09-01,1990,9,230.2301227950429,9.96775e-4
1990-10-01,1990,10,202.91853731039913,0.001006695
1990-11-01,1990,11,162.24007644927536,9.53236e-4
1990-12-01,1990,12,140.6829550839184,9.50535e-4
1991-01-01,1991,1,147.6634838748579,0.001200425
1991-02-01,1991,2,156.12040126065304,0.001542938
1991-03-01,1991,3,150.96862623175605,0.001603669
1991-04-01,1991,4,150.1318067005292,0.001739018
1991-05-01,1991,5,148.01612659374427,0.001807985
1991-06-01,1991,6,151.69838918077858,0.002015382
1991-07-01,1991,7,177.88329234187358,0.002657487
1991-08-01,1991,8,195.41493032583486,0.003374891
1991-09-01,1991,9,191.25253450359105,0.003804051
1991-10-01,1991,10,216.81452516574964,0.005491418
1991-11-01,1991,11,205.93504079951362,0.006546705
1991-12-01,1991,12,170.89948091924683,0.006601011
1992-01-01,1992,1,174.3003739686796,0.008557811
1992-02-01,1992,2,160.3213737717067,0.009877204
1992-03-01,1992,3,150.04239984157348,0.011062207
1992-04-01,1992,4,169.59155185025122,0.01472916
1992-05-01,1992,5,177.99520959341072,0.018740476
1992-06-01,1992,6,162.48276322297636,0.020682953
1992-07-01,1992,7,155.47614316509836,0.02418196
1992-08-01,1992,8,177.11435645747488,0.035094698
1992-09-01,1992,9,196.76808836719152,0.049581138
1992-10-01,1992,10,191.87217864140527,0.060350709
1992-11-01,1992,11,165.0371176758167,0.064592193
1992-12-01,1992,12,180.42549463539302,0.087403596
1993-01-01,1993,1,186.37970637066078,0.114385905
1993-02-01,1993,2,177.11658819261248,0.137212396
1993-03-01,1993,3,179.96441338921994,0.178562545
1993-04-01,1993,4,181.52171242927986,0.231109818
1993-05-01,1993,5,168.25696652473573,0.282892364
1993-06-01,1993,6,155.91365724644723,0.341574545
1993-07-01,1993,7,177.06797617710333,0.513160364
