beta_gamma_0,beta_gamma_1,beta_gamma_2,beta_gamma_3,beta_gamma_4,beta_gamma_5,beta_theta_0,beta_theta_1,beta_theta_2,beta_theta_3,beta_theta_4,beta_theta_5,beta_theta_6,beta_theta_7,nu_gamma_0,nu_gamma_1,nu_gamma_2,nu_gamma_3,nu_gamma_4,nu_gamma_5,nu_gamma_6,nu_gamma_7,nu_gamma_8,nu_gamma_9,nu_gamma_10,nu_gamma_11,nu_gamma_12,nu_gamma_13,nu_gamma_14,nu_gamma_15,nu_gamma_16,nu_gamma_17,nu_gamma_18,nu_gamma_19,nu_gamma_20,nu_gamma_21,nu_gamma_22,nu_gamma_23,nu_gamma_24,nu_gamma_25,nu_gamma_26,nu_gamma_27,nu_gamma_28,nu_gamma_29,nu_gamma_30,nu_gamma_31,nu_gamma_32,nu_gamma_33,nu_gamma_34,nu_gamma_35,nu_gamma_36,nu_gamma_37,nu_gamma_38,nu_gamma_39,nu_gamma_40,nu_gamma_41,nu_gamma_42,nu_gamma_43,nu_gamma_44,nu_gamma_45,nu_gamma_46,nu_gamma_47,nu_gamma_48,nu_gamma_49,nu_gamma_50,nu_gamma_51,nu_gamma_52,nu_gamma_53,nu_gamma_54,nu_gamma_55,nu_gamma_56,nu_gamma_57,nu_gamma_58,nu_gamma_59,nu_gamma_60,nu_gamma_61,nu_gamma_62,nu_gamma_63,nu_gamma_64,nu_gamma_65,nu_gamma_66,nu_gamma_67,nu_gamma_68,nu_gamma_69,nu_gamma_70,nu_gamma_71,nu_gamma_72,nu_gamma_73,nu_gamma_74,nu_gamma_75,nu_gamma_76,nu_gamma_77,nu_theta_0,nu_theta_1,nu_theta_2,nu_theta_3,nu_theta_4,nu_theta_5,nu_theta_6,nu_theta_7,nu_theta_8,nu_theta_9,nu_theta_10,nu_theta_11,nu_theta_12,nu_theta_13,nu_theta_14,nu_theta_15,nu_theta_16,nu_theta_17,nu_theta_18,nu_theta_19,nu_theta_20,nu_theta_21,nu_theta_22,nu_theta_23,nu_theta_24,nu_theta_25,nu_theta_26,nu_theta_27,nu_theta_28,nu_theta_29,nu_theta_30,nu_theta_31,nu_theta_32,nu_theta_33,nu_theta_34,nu_theta_35,nu_theta_36,nu_theta_37,nu_theta_38,nu_theta_39,nu_theta_40,nu_theta_41,nu_theta_42,nu_theta_43,nu_theta_44,nu_theta_45,nu_theta_46,nu_theta_47,nu_theta_48,nu_theta_49,nu_theta_50,nu_theta_51,nu_theta_52,nu_theta_53,nu_theta_54,nu_theta_55,nu_theta_56,nu_theta_57,nu_theta_58,nu_theta_59,nu_theta_60,nu_theta_61,nu_theta_62,nu_theta_63,nu_theta_64,nu_theta_65,nu_theta_66,nu_theta_67,nu_theta_68,nu_theta_69,sigma_u_gamma,sigma_u_theta,sigma_v_gamma,sigma_v_theta
6.2431597,0.026684106,-0.05368525,0.098750251,-0.21362855,0.13308204,4.0508481,-0.50271683,-0.47937689,1.963788,-2.1469735,-0.20847712,0.039818147,0.5264494,-0.10371544,-0.3972823,-0.33923802,-0.11740871,-0.28449193,-0.17929437,-0.05157828,-0.074765262,0.12392098,0.057213274,0.16544726,-0.021263506,-0.10690703,-0.26890147,-0.11754209,-0.2433211,-0.018078637,0.16124121,0.093211879,0.11632429,0.097547336,-0.17556417,-0.45185374,-0.1129266,-0.076692354,-0.075315037,-0.10603073,-0.059191345,0.14621945,0.14462239,0.31802555,0.40511489,0.13716638,-0.12592585,-0.53136004,-0.060084439,-0.051597667,-0.043347173,-0.040907135,0.040328116,0.09406328,0.2838952,0.37867702,0.31725333,0.37508052,0.097678084,0.0099097846,-0.19206132,-0.075319525,-0.0093457044,-0.00075599297,-0.087695514,0.16990409,0.26782471,0.30873901,0.36783488,0.039668453,-0.13983729,-0.089907382,-0.1234767,-0.080718949,0.072142273,-0.053447267,0.16974659,0.15291566,0.051977167,0.15221068,0.065705653,-0.045401441,-0.15898171,-0.12932112,-0.063532442,-0.053701174,-0.017606675,-0.015122966,-0.29266386,-0.40860609,-0.29479028,0.29552158,0.027572343,-0.28568353,0.2696591,-0.20897834,-0.12023598,-0.54895643,-0.15258382,0.19131366,-0.47734362,0.29428396,-0.2873952,-0.57241312,0.0027099331,-0.63676462,-0.023461432,-0.5796594,0.32826751,0.21017556,-0.11402604,-0.2496195,0.097773858,-0.069198645,0.20432759,0.21204051,-0.35968319,0.17742399,-0.13692932,-0.088689771,0.47530625,-0.88217854,0.19385009,0.24128223,0.13375064,0.39362647,0.39373318,0.39630369,0.26259493,-0.12438331,0.17951633,-0.17851191,0.047367229,-0.053078216,0.39453821,0.32334692,0.082807699,0.15271186,-0.18320441,-0.73466141,0.33105897,-0.12535174,0.36266143,0.3150444,0.01811672,-0.4416712,-0.053702313,0.10032038,-0.08730102,0.068927159,0.063328813,0.56710434,0.54014955,-0.41512207,0.20025756,-0.39984488,0.35708812,0.24181918,-0.58182848,-0.47865916,-0.2522501,0.12601712,0.39702503,0.21382489,0.32003199
6.2345444,0.030611305,-0.062985993,0.099074851,-0.22594176,0.14499861,3.9487818,-0.36180641,-0.33175444,2.0169841,-2.1974379,-0.21610985,0.048467561,0.51234644,-0.1009813,-0.39890449,-0.26950892,-0.2969654,-0.25299737,-0.12342372,-0.094063027,-0.13479583,0.10134535,0.10069783,0.21152629,-0.021941081,-0.16639465,-0.26951037,-0.16181884,-0.17758479,-0.038486824,0.17952448,0.065910202,0.084073735,0.1098004,-0.21380133,-0.46395728,1.9831091e-05,-0.14874621,-0.10256442,-0.084124528,-0.06100918,0.15965802,0.20448944,0.32998067,0.32214157,0.22943326,-0.018049813,-0.48800049,-0.10600051,-0.11354977,-0.086612795,-0.071122712,-0.035069385,0.10820353,0.31006612,0.46174872,0.40713302,0.3522548,0.14190116,-0.059966236,-0.16231048,-0.1000847,-0.054344653,0.028807987,-0.035871231,0.23971587,0.29331055,0.29467702,0.37495625,0.13265476,-0.11675206,-0.097376401,-0.012238854,-0.12772297,0.021623161,-0.042268867,0.17822606,0.096343773,0.14358814,0.15492682,0.12413412,0.050932116,-0.14544611,-0.2087521,-0.13017605,0.050725515,0.06946489,-0.041965316,-0.45480839,-0.35740366,-0.1126409,0.75828389,0.19510458,-0.25091055,0.47661336,-0.13523385,0.32875154,-0.31240198,-0.24738351,-0.29604195,0.2848819,0.36737546,-0.30172322,-0.57055433,0.058377405,-0.78383424,0.051291188,-0.50802053,0.24212246,0.33562069,0.076631838,0.18570164,0.20285879,0.038613081,0.15850177,0.071667035,0.70670195,0.45581087,-0.033453942,-0.050639814,-0.2619174,-0.64431585,0.028835941,0.037486936,0.22813403,0.3173149,0.026495894,0.17792526,0.13174362,0.31864899,0.060954581,0.024070829,-0.59356387,-0.28707329,0.51746585,-0.22127654,-0.25220714,0.40871898,0.021535232,-0.67103548,0.082207066,0.048117885,0.59129252,0.37018502,0.084137057,-0.008435069,0.11429834,-0.46611747,0.040635798,-0.08295627,0.40488429,0.24156462,0.31316162,-0.061376635,0.33694729,-0.0015978405,0.080066313,0.13796846,-0.44781586,-0.53418753,0.068821731,0.1233232,0.39762862,0.20818834,0.34341653
6.2434222,0.030668703,-0.062002816,0.097056893,-0.23522777,0.14568149,3.9907377,-0.3436107,-0.29133607,1.9833322,-2.1603815,-0.20691592,0.042553434,0.49744924,-0.10115444,-0.37971117,-0.24762382,-0.3102901,-0.27220037,-0.11313282,-0.11289975,-0.14132261,0.11768429,0.12171362,0.1938407,-0.053791385,-0.13532767,-0.29250049,-0.155143,-0.19779195,-0.010060767,0.17331704,0.12819753,0.0967037,0.1155683,-0.22358344,-0.4396247,-0.083262698,-0.15628014,-0.13244453,-0.10386237,-0.048043713,0.13348339,0.20704728,0.32168632,0.36501924,0.19327676,-0.056480443,-0.51451624,-0.10906328,-0.12370669,-0.08853359,-0.053200702,-0.029995727,0.12081529,0.29292779,0.42779375,0.41652179,0.36113043,0.10435095,-0.019987692,-0.1481316,-0.10340969,-0.067737637,0.018541516,-0.027421012,0.22183508,0.27548924,0.33628471,0.323002,0.12696302,-0.09720079,-0.059267551,-0.06111264,-0.14087995,-0.013556193,-0.056270187,0.21008874,0.1055479,0.12513812,0.15899964,0.15002276,0.015927412,-0.16829848,-0.22673551,-0.12690361,0.0036328758,0.055992635,-0.02801409,-0.48463238,-0.36456089,-0.13327131,0.80530196,0.43659559,-0.12458924,0.43966887,0.19950355,0.32727032,-0.099534862,-0.012775904,-0.046674729,-0.035362859,0.21143314,-0.27972672,-0.47751696,0.0068182512,-0.68969392,0.089722193,-0.45753091,0.1412428,0.36095987,-0.15417497,0.076938545,0.27855173,-0.063729446,0.055696057,0.23836887,0.526374,0.38806474,-0.1693643,0.027019244,-0.62919777,-0.75526707,-0.10300142,0.14381174,0.16177244,0.35848702,0.20582449,0.19235799,0.16772826,0.40601876,-0.014660372,0.065234889,-0.68336212,-0.33431335,0.27301067,-0.18987332,-0.26479007,0.33151978,-0.045042569,-0.68516531,-0.21180277,-0.028256142,0.37338238,0.50375911,0.36135341,0.12405553,-0.078296169,-0.5339146,0.26686254,-0.05428497,0.56099775,0.31349784,0.2806776,-0.10262492,0.34808211,-0.26884736,0.28741066,0.21751674,-0.45135986,-0.55017336,0.0057062881,0.12411677,0.38641779,0.21751043,0.28004067
6.2433412,0.028895502,-0.053359177,0.088316521,-0.22831528,0.14214066,3.9725809,-0.42727577,-0.30008524,2.1365211,-2.3232998,-0.15315816,0.074504115,0.44834317,-0.13139944,-0.35872577,-0.29272696,-0.32059452,-0.27463794,-0.092525224,-0.093090524,-0.079175132,0.18199802,0.15668152,0.18891889,0.027757652,-0.1669954,-0.24539742,-0.1455747,-0.19752746,0.01504041,0.14988799,0.083944456,0.090421501,0.10873826,-0.2763046,-0.4768156,-0.062341296,-0.10813232,-0.15390562,-0.1309581,-0.038354469,0.12172614,0.16247542,0.37584074,0.35609964,0.16420137,-0.070719668,-0.50895513,-0.16909847,-0.10775636,-0.068713013,-0.062028977,-0.022946938,0.13328616,0.27990332,0.42843531,0.43722954,0.3688489,0.09377033,0.039245842,-0.18832607,-0.10929995,-0.07475667,0.03964245,-0.083013562,0.20591452,0.26198492,0.31219969,0.41128501,0.053041501,-0.13096199,-0.039512512,-0.070190547,-0.14652351,0.038034902,-0.091833503,0.16357306,0.11561993,0.14522756,0.117954,0.11250709,0.036829219,-0.17307564,-0.16952445,-0.12647666,-0.0077795941,0.041915778,-0.0092066495,-0.43568964,-0.41481478,-0.18238792,0.71562283,0.21122607,0.15797744,0.37197126,0.10897881,0.20800885,-0.34025395,0.22816229,0.20846082,-0.34650664,0.21141314,-0.34422105,-0.42639245,-0.0028032054,-0.49054568,0.065039708,-0.62022764,-0.5553197,0.40843593,-0.024293275,0.12455971,0.15109306,0.011520385,0.067898832,0.26034684,-0.023542353,0.058692022,-0.15816237,0.081023982,-0.55959521,-0.87329252,0.021117349,-0.0041529464,-0.070493086,0.29267453,-0.019677182,0.32261177,0.053046967,0.82156029,0.046974497,0.10151709,-0.27814767,-0.35429316,0.61113261,0.099635632,-0.06400936,0.54400746,0.32569454,-0.68303124,-0.095024795,0.035610029,0.4385502,0.31739785,0.13666302,0.00031484214,-0.14018475,-0.43639817,0.15912416,-0.42713827,0.2664177,0.31679967,0.23659021,-0.3063883,0.39606321,-0.25392118,0.46408466,0.39436261,-0.53269507,-0.45534591,0.17997354,0.12373176,0.39562832,0.20545406,0.36910904
6.2325962,0.03100293,-0.069440041,0.097557963,-0.23148502,0.10970758,4.0106512,-0.48298804,-0.33146592,-1.4217343,1.3047093,-0.17130797,-0.016396483,0.5025267,-0.12610874,-0.37210721,-0.16694355,-0.2297704,-0.32676238,-0.25503018,-0.074447569,-0.07265289,0.10768594,0.035060327,0.24841839,0.049972592,-0.20950318,-0.34326284,-0.11334361,-0.23642128,-0.099672809,0.15122426,0.1200187,0.20456052,0.14547966,-0.11831802,-0.36276302,-0.05219127,-0.16061574,-0.082851845,-0.068614054,-0.073712962,0.18532139,0.16435371,0.33856293,0.41738632,0.24695185,-0.036785462,-0.48830742,-0.0084166056,-0.059093029,-0.12110439,-0.020038336,-0.011037211,0.10943044,0.30288795,0.42819227,0.39103173,0.34514871,0.22647982,0.043010504,-0.13518642,-0.073195792,0.0098244312,-0.033029546,0.00068218632,0.12608873,0.27707215,0.41213321,0.37251096,0.10273139,-0.21477495,0.028964331,-0.079799143,-0.06000397,0.092744469,-0.045794361,0.13220789,0.15932181,0.057291648,0.16167663,0.053090475,-0.071872295,-0.10262674,-0.16081842,-0.11541744,-0.074387186,-0.039727062,-0.15986156,-0.21837416,-0.36937019,-0.23393671,0.29597716,0.42845147,0.57043255,0.39012728,0.61100469,0.20765074,-0.20009869,-0.094675543,0.47584489,-0.31902506,-0.25905255,-0.48215971,-0.40982149,0.34088292,-1.1002404,-0.20136137,-0.32918496,0.24807652,0.32758517,-0.061051359,-0.31129404,0.1655908,-0.0036216438,-0.21935429,0.32997764,-0.10379467,0.0076088137,0.019435786,0.029112927,-0.28281838,-1.1282236,0.74229321,0.71875428,0.11818783,0.29583079,-0.13572648,0.11658145,0.41080197,-0.37306457,-0.14811411,0.058909938,-0.064700567,-0.19081978,0.65931159,-0.24511336,-0.16834636,0.5602233,-0.38992351,-0.9523142,-0.061550622,-0.26746555,0.27086451,0.42692865,-0.28996461,-0.4119252,-0.10645933,-0.45747183,0.066151932,0.12295682,-0.027611983,0.4372371,0.080945007,-0.30806526,0.4548777,0.3833956,0.77348452,0.40424079,-0.54062736,-0.23401275,0.19961839,0.12423578,0.40543003,0.25295599,0.38160808
6.2289691,0.035871281,-0.060513145,0.087162629,-0.24057243,0.11728008,3.9498937,-0.60476853,-0.39356838,0.17228451,-0.31730294,-0.10961117,-0.048794166,0.44561215,-0.15519361,-0.37891569,-0.20016328,-0.31081698,-0.31673746,-0.18688389,-0.063635494,-0.065246794,0.15166001,0.075192267,0.21705803,0.065964335,-0.14069654,-0.33131217,-0.081616769,-0.19239552,-0.013900007,0.20329205,0.062676634,0.18168259,0.21715591,-0.18051839,-0.36449426,-0.045873448,-0.20138312,-0.1465418,-0.076414986,-0.050916848,0.1953578,0.21892022,0.3997149,0.39089416,0.22362479,-0.0075768422,-0.45552853,-0.12022676,-0.20318221,-0.10112396,-0.019625969,0.03825296,0.17827716,0.32285985,0.42854007,0.35953179,0.36177418,0.17632215,-0.0043031315,-0.19312872,-0.11565084,-0.00062842183,0.035239831,-0.039062041,0.19915757,0.30582878,0.39628942,0.38040404,0.07627514,-0.13413887,0.01678927,-0.08087398,-0.10302926,0.095866991,-0.062296648,0.21048706,0.10163566,0.12095584,0.12214298,0.053144738,-0.075578454,-0.16542932,-0.15074953,-0.082648609,-0.045969214,-0.0097550362,-0.068535788,-0.27328076,-0.37539788,-0.13892372,0.16725988,0.43125557,0.073183697,0.54676083,0.83596346,0.017632232,-0.40930196,0.65148858,-0.014236846,-0.71199458,0.016428944,-0.23403442,-0.44334849,0.30410388,-0.18852566,-0.40046546,0.12085806,-0.44346562,0.44583934,0.033890992,-0.095842736,0.73041301,0.13362329,-0.03327181,0.41361563,0.21224066,0.43003556,-0.14405749,0.12705829,-0.25156507,-1.0680281,0.72491127,0.46033307,0.21316748,0.1381717,-0.16915196,-0.04893607,0.74813103,-0.71082096,-0.28850608,0.06044246,-0.055505425,-0.42285586,0.24734664,-0.66862261,-0.43278376,0.43340133,-0.1199922,-0.62410934,0.44236493,-0.32252455,0.081530613,0.13917714,0.033033891,-0.48173014,-0.22512163,-0.42126716,-0.44906758,0.20537466,0.12544142,0.54500628,0.40978355,-0.12236465,0.56997866,0.6645782,0.29586551,0.43145764,-0.48168819,-0.30309318,0.23891759,0.12461183,0.41235092,0.23060119,0.42331406
6.2280398,0.044337335,-0.075723769,0.084831518,-0.24034806,0.12790643,4.0209754,-0.48336199,-0.37680655,0.45961658,-0.67906315,-0.089274653,-0.021931636,0.440767,-0.10892653,-0.32230074,-0.22333668,-0.26751752,-0.29009818,-0.21793411,-0.010203095,-0.032227211,0.18375334,0.11419167,0.2374674,0.045900069,-0.11681299,-0.29629705,-0.13124083,-0.23382187,-0.0498825,0.14550746,0.093459513,0.15136749,0.18069947,-0.12848666,-0.44464064,-0.10804717,-0.19212961,-0.17907339,-0.11530053,-0.015351772,0.19585056,0.26637458,0.37754889,0.45503508,0.24259126,-0.05385089,-0.42832061,-0.1562091,-0.019681421,-0.064367353,-0.014250867,0.0077764015,0.11732913,0.35303859,0.38949307,0.4238144,0.35027839,0.18367617,0.025143174,-0.14468607,-0.07417013,-0.075547234,-0.013906352,-0.012078116,0.15526079,0.28735426,0.40770581,0.36944549,0.078008995,-0.11034605,-0.046266639,-0.11462683,-0.12864635,0.077006133,-0.06365787,0.14178231,0.12343542,0.123372,0.16181042,0.089119625,-0.070704276,-0.10942715,-0.17457435,-0.12208299,-0.077357705,-0.012775214,-0.045361392,-0.34906292,-0.45432049,-0.18888584,-0.022527702,0.23566353,0.19780974,0.39921874,0.071046357,0.50793884,-0.31583934,-0.50028249,-0.31105665,-0.35176284,0.20298765,-0.25124413,-0.42211597,0.30884421,-0.36239505,-0.18004356,-0.11147696,0.63683669,0.34145907,-0.3570982,-0.32618312,0.30623063,0.17400063,0.11066968,0.094884326,-0.65650092,0.38427243,-0.044234225,-0.23341048,0.58936174,-0.5968822,0.42048453,0.62501679,-0.24084418,0.37661971,-0.50894175,-0.083265795,0.4051789,-0.31080432,-0.32516234,0.20144519,0.10023114,-0.11726321,0.32304327,-0.064109532,0.25950716,0.46411054,-0.14275168,-0.66908577,0.48283844,-0.41373038,0.25823467,-0.12763611,0.036829579,-0.57213059,0.20939913,-0.14677827,-0.012226036,0.090836545,0.16034981,0.29971217,0.70424468,-0.16302142,0.51426525,0.68466835,1.045032,0.2683726,-0.4169596,-0.21286255,-0.040342015,0.12733095,0.40499704,0.2056783,0.34560744
6.2250441,0.03767842,-0.046615907,0.078063476,-0.23311345,0.13205357,3.9435501,-0.58374644,-0.34418877,1.0437255,-1.1497,-0.078712318,-0.046527825,0.48085195,-0.084041002,-0.32425895,-0.2551231,-0.2768477,-0.29544598,-0.080584807,-0.076347507,-0.055101814,0.14096767,0.14087353,0.27076587,0.060872216,-0.23824385,-0.27104437,-0.077431471,-0.17497482,0.013548976,0.1495619,0.090966663,0.23328606,0.11568916,-0.21488605,-0.30334793,-0.012910896,-0.094611459,-0.087663784,-0.079703466,-0.050452775,0.15774944,0.12742415,0.34626216,0.34460829,0.2527525,0.011239177,-0.50306598,-0.037554737,-0.15058011,-0.13404669,-0.048964353,0.024368144,0.10185327,0.30445596,0.46040715,0.47278418,0.38311329,0.17841776,0.042582366,-0.20884876,-0.10552721,0.0091708777,0.011870573,-0.073802835,0.21320487,0.25200601,0.28879648,0.40971807,0.1354891,-0.14158745,-0.012720098,-0.035810626,-0.072890728,0.11102785,-0.065898907,0.17620076,0.13971242,0.049792906,0.13548997,0.095387232,-0.037464537,-0.21166057,-0.17470967,-0.1008035,0.003992876,0.048217906,-0.0097958148,-0.35350506,-0.30940232,-0.14920639,0.67942132,0.229947,0.10584201,0.56224866,0.26295982,1.0087316,-0.051075289,0.013102959,0.3392494,-0.12557827,-0.30437551,-0.29095894,-0.32109562,0.044516393,-1.2077532,-0.1341008,0.40294399,-0.093765094,0.21360432,-0.087847439,0.27713301,0.077803997,-0.064900727,-0.019842868,0.0044406009,0.54374219,0.16790298,-0.1072814,0.26827604,0.23987666,-1.0104597,0.19190558,0.25235719,0.2956579,0.24082546,-0.0076551051,0.12688653,-0.03408819,-0.32663018,-0.42940705,0.32508473,-0.35033089,-0.057958809,0.0074400584,0.14102507,0.13678612,0.55851251,-0.16574923,-0.84489871,0.23762172,-0.257547,0.37366455,0.31952145,-0.27757855,0.0060934724,-0.088681685,-0.11714179,-0.41786425,0.12003737,0.45421686,0.35940294,0.11342534,0.028505293,0.52603482,0.92381896,0.33796731,0.37795124,-0.53807619,-0.28666562,0.36345104,0.12388075,0.3735415,0.21190577,0.45308259
6.2243224,0.039025968,-0.057297513,0.067546474,-0.22267397,0.13116839,3.9328527,-0.35649847,-0.22976435,1.9057673,-2.0554079,-0.051612233,-0.0096597965,0.54390129,-0.064518261,-0.2898062,-0.22138905,-0.11460427,-0.25453063,-0.14223726,0.027722068,-0.078748613,0.2543086,0.12929193,0.2448413,0.024511598,-0.068592371,-0.25489723,-0.13713687,-0.23302517,-0.019612808,0.18249244,0.072958067,0.16677295,0.20629046,-0.17119594,-0.44436608,-0.19032792,-0.15252467,-0.048090005,-0.11437836,-0.097893058,0.15751292,0.20928154,0.44378907,0.41585069,0.19564709,-0.098103027,-0.39665219,-0.092838519,-0.01811682,-0.05112568,-0.096784479,-0.019510425,0.084919309,0.31472277,0.42435438,0.42893002,0.38118632,0.1048175,0.0077315887,-0.091774954,-0.042017567,-0.068176021,0.043890139,-0.023713859,0.14894417,0.24940357,0.35265909,0.37711728,0.099977483,-0.13906025,0.097608594,-0.074015202,-0.12607419,0.10408007,-0.055195704,0.12727289,0.14864347,0.097069113,0.16347743,0.071125045,-0.074686298,-0.11864463,-0.14627477,-0.10484342,-0.027016815,-0.005066215,-0.087216731,-0.40691558,-0.41826233,-0.19584625,0.67789383,-0.18893304,-0.06703868,0.76007295,0.7387883,0.53525209,0.33075446,-0.35190193,0.35234804,-0.42814366,-0.18099092,-0.54757201,-0.10479577,0.11677776,-0.84168621,0.046028899,0.44823021,-0.14848239,0.15955535,-0.28254582,-0.05077028,-0.077003514,-0.068027581,0.11450879,0.44906075,0.011195264,0.46051458,-0.046623099,-0.0023313334,-0.5437328,-0.77617465,0.59209288,0.39426186,0.083623131,0.57927337,0.27628876,0.18548882,-0.2785771,0.31182167,-0.22268064,0.34326821,-0.13726215,-0.43474827,0.26797595,-0.22263532,-0.41377117,0.56303768,-0.028333724,-0.75538787,0.23461438,-0.32564717,0.37020967,0.30240103,-0.030486744,-0.248738,0.23139806,-0.54101406,0.25166361,0.32572046,0.29440925,0.39806249,0.18730463,-0.096014131,0.47521313,0.33855605,1.1929503,0.073852571,-0.55826988,-0.22158704,0.18988498,0.12562204,0.39419575,0.16783416,0.3572767
6.222216,0.04459472,-0.052482261,0.083678914,-0.21586821,0.12962381,3.9265899,-0.53743383,-0.42750026,1.408985,-1.5338182,-0.077333718,-0.035888227,0.5449868,-0.092081664,-0.35227346,-0.26198673,-0.17542024,-0.29770689,-0.18982759,-0.018430714,-0.039420312,0.18299209,0.13538419,0.25133059,0.036550207,-0.27235968,-0.2699163,-0.092243846,-0.15861394,-0.032528228,0.13960596,0.10825255,0.20125399,0.1246844,-0.22512833,-0.36832189,-0.010890841,-0.089340275,-0.12577425,-0.043922765,-0.020623284,0.1249145,0.19890485,0.31369903,0.34271399,0.23852875,-0.0089396294,-0.50485571,-0.05580492,-0.10230237,-0.058453297,0.041644499,0.046160023,0.086691072,0.30055077,0.43748742,0.45377075,0.35204595,0.16603609,0.008665654,-0.18911106,-0.061717824,0.048834943,0.040603042,-0.027273738,0.1770806,0.33058478,0.28507427,0.39959258,0.13068902,-0.097823372,-0.11849454,-0.055193391,-0.054606639,0.1291856,-0.086128218,0.21590924,0.13996886,0.10385163,0.11152253,0.12808202,0.030177013,-0.1030911,-0.17050172,-0.10484543,-0.049760099,0.023842023,-0.0055226689,-0.33769388,-0.32862823,-0.14475771,0.56156472,-0.17547382,0.06163316,0.91201368,0.35452499,0.64980252,0.014421702,-0.68561091,0.42345907,-0.39450784,0.30813668,-0.53206255,-0.28072538,0.30031312,-0.78179375,-0.052017301,-0.30299124,0.15900248,0.067740599,-0.39681594,-0.014459678,-0.52237243,-0.25401281,0.19214301,-0.34450801,0.037222279,0.30494864,-0.089762938,0.30947557,-0.0091681707,-1.4544617,-0.014792696,0.52862294,0.32649753,0.32852011,0.16529209,0.15580595,-0.0078290701,0.26819679,-0.27948455,0.14678006,0.47547033,-0.12149136,0.41659849,0.15954944,0.40415168,0.53692012,0.047898038,-0.47513491,-0.42480868,-0.43439524,0.28564093,0.50599796,0.32564232,-0.42863837,-0.3009785,0.033565033,-0.16261337,0.31257819,0.23476826,0.32734337,-0.040591093,-0.25591631,0.50505436,0.18025103,1.1613698,0.38193316,-0.33620702,-0.30787116,0.14288135,0.12294433,0.38402476,0.22650614,0.49801036
