beta_gamma_0,beta_gamma_1,beta_gamma_2,beta_gamma_3,beta_gamma_4,beta_gamma_5,beta_theta_0,beta_theta_1,beta_theta_2,beta_theta_3,beta_theta_4,beta_theta_5,beta_theta_6,beta_theta_7,nu_gamma_0,nu_gamma_1,nu_gamma_2,nu_gamma_3,nu_gamma_4,nu_gamma_5,nu_gamma_6,nu_gamma_7,nu_gamma_8,nu_gamma_9,nu_gamma_10,nu_gamma_11,nu_gamma_12,nu_gamma_13,nu_gamma_14,nu_gamma_15,nu_gamma_16,nu_gamma_17,nu_gamma_18,nu_gamma_19,nu_gamma_20,nu_gamma_21,nu_gamma_22,nu_gamma_23,nu_gamma_24,nu_gamma_25,nu_gamma_26,nu_gamma_27,nu_gamma_28,nu_gamma_29,nu_gamma_30,nu_gamma_31,nu_gamma_32,nu_gamma_33,nu_gamma_34,nu_gamma_35,nu_gamma_36,nu_gamma_37,nu_gamma_38,nu_gamma_39,nu_gamma_40,nu_gamma_41,nu_gamma_42,nu_gamma_43,nu_gamma_44,nu_gamma_45,nu_gamma_46,nu_gamma_47,nu_gamma_48,nu_gamma_49,nu_gamma_50,nu_gamma_51,nu_gamma_52,nu_gamma_53,nu_gamma_54,nu_gamma_55,nu_gamma_56,nu_gamma_57,nu_gamma_58,nu_gamma_59,nu_gamma_60,nu_gamma_61,nu_gamma_62,nu_gamma_63,nu_gamma_64,nu_gamma_65,nu_gamma_66,nu_gamma_67,nu_gamma_68,nu_gamma_69,nu_gamma_70,nu_gamma_71,nu_gamma_72,nu_gamma_73,nu_gamma_74,nu_gamma_75,nu_gamma_76,nu_gamma_77,nu_theta_0,nu_theta_1,nu_theta_2,nu_theta_3,nu_theta_4,nu_theta_5,nu_theta_6,nu_theta_7,nu_theta_8,nu_theta_9,nu_theta_10,nu_theta_11,nu_theta_12,nu_theta_13,nu_theta_14,nu_theta_15,nu_theta_16,nu_theta_17,nu_theta_18,nu_theta_19,nu_theta_20,nu_theta_21,nu_theta_22,nu_theta_23,nu_theta_24,nu_theta_25,nu_theta_26,nu_theta_27,nu_theta_28,nu_theta_29,nu_theta_30,nu_theta_31,nu_theta_32,nu_theta_33,nu_theta_34,nu_theta_35,nu_theta_36,nu_theta_37,nu_theta_38,nu_theta_39,nu_theta_40,nu_theta_41,nu_theta_42,nu_theta_43,nu_theta_44,nu_theta_45,nu_theta_46,nu_theta_47,nu_theta_48,nu_theta_49,nu_theta_50,nu_theta_51,nu_theta_52,nu_theta_53,nu_theta_54,nu_theta_55,nu_theta_56,nu_theta_57,nu_theta_58,nu_theta_59,nu_theta_60,nu_theta_61,nu_theta_62,nu_theta_63,nu_theta_64,nu_theta_65,nu_theta_66,nu_theta_67,nu_theta_68,nu_theta_69,sigma_u_gamma,sigma_u_theta,sigma_v_gamma,sigma_v_theta
6.2352917,0.022512493,-0.071246846,0.067558709,-0.20340546,0.16096856,4.1391771,-0.5696006,-0.39851843,-0.12072304,0.041825121,-0.11939929,0.0086338584,0.4892935,-0.023778107,-0.2610542,-0.38340035,-0.0931317,-0.1272766,-0.14744645,-0.00041807421,-0.023181971,0.1306471,0.10222762,0.16240603,-0.0078787462,-0.022251801,-0.14450536,-0.0032837537,-0.03758733,0.083841388,0.14684277,0.039804381,0.054195762,0.12873308,-0.21916234,-0.50667178,-0.00080683603,-0.033738421,-0.050314136,-0.016307948,-0.073456078,0.21674206,0.11633427,0.35020487,0.34505,0.15939657,-0.1408637,-0.41177523,-0.014107277,-0.024523586,-0.042354081,-0.0026523448,0.018027151,0.15441987,0.28924211,0.42604,0.37928832,0.30445611,0.10792933,-0.065675779,-0.25315151,-0.10115999,-0.019657872,-0.013349538,-0.11869044,0.067300693,0.24668196,0.33895614,0.38432783,0.10264779,-0.17918832,0.057213502,-0.13607215,-0.15147408,0.11331504,-0.091739951,0.094593052,0.064121474,0.096073757,0.13242266,0.019498338,-0.21829718,-0.24168776,-0.24894528,-0.18171972,-0.046108236,-0.020618676,-0.10899721,-0.38309515,-0.45962869,-0.17502601,0.31318141,0.0638542,0.17717383,0.32171873,-0.0010019418,0.33755446,-0.54582372,-0.020715985,-0.027144886,-0.10845178,-0.3405587,-0.59482195,-0.56104417,0.16538276,-0.7901747,-0.23348519,-0.28859389,-0.6412259,0.1870223,-0.11057887,0.064307802,-0.41382766,-0.36041168,-0.1585683,-0.54797486,-0.37548719,0.35547185,-0.19400058,0.12267361,-0.44518941,-0.83646611,0.41356866,0.95684835,-0.112518,0.21097072,0.35233903,0.16377513,0.057022388,0.065579214,-0.69004477,-0.06213092,0.11984525,-0.3077133,0.31192229,-0.033204424,-0.3935952,0.37175431,0.37880286,-1.0411193,0.66328369,-0.73235541,0.16860272,-0.2002497,-0.088459028,-0.35687923,-0.80851972,-0.0070937303,-0.1634288,0.20293066,-0.14168275,0.18577316,0.028407799,-0.16920119,0.38543764,-0.021455067,0.38186071,-0.27849812,-0.77468378,-0.50085381,0.0069425979,0.12887541,0.37111769,0.19755804,0.40768931
6.2337483,0.030742327,-0.070729448,0.067134576,-0.20060081,0.18280081,4.083228,-0.60934146,-0.42002758,-0.29070548,0.13426345,-0.12945106,0.0093760764,0.47746659,-0.047331718,-0.28435737,-0.31347894,-0.082466302,-0.14062119,-0.14293213,0.022536948,-0.054282274,0.13917367,0.076173969,0.19947506,-0.045827098,-0.071594507,-0.17833831,-0.016087753,-0.052267734,0.03373411,0.19914583,0.03463257,0.053156327,0.09048855,-0.22167642,-0.52103452,-0.034555441,0.013855512,-0.07953953,-0.0059132436,-0.028008888,0.17654306,0.11706818,0.38662438,0.37185456,0.14704196,-0.10230174,-0.46761266,0.016947827,-0.053609004,-0.1014569,-0.027183141,0.029239447,0.14756276,0.28374937,0.42518007,0.36910033,0.34537213,0.086501352,-0.056816554,-0.17632915,-0.12464978,-0.07353576,-0.00071133141,-0.059766798,0.085447702,0.24181956,0.3301219,0.39913152,0.060494781,-0.21290949,-0.0058253459,-0.15081318,-0.15402975,0.058301611,-0.1207638,0.082783722,0.083905885,0.12962653,0.15308718,0.066865219,-0.21870485,-0.22481541,-0.23033348,-0.19926258,-0.041264856,-0.042338407,-0.12118915,-0.40119523,-0.41718563,-0.22861105,0.15687325,-0.082466256,0.23907713,0.39163721,-0.11068907,0.28381255,-0.4161357,-0.24580734,-0.13540721,-0.65239331,-0.40139693,-0.63964372,-0.63411714,0.20472659,-0.74682686,-0.38457012,-0.3123028,-0.66147856,0.17287494,-0.11734029,0.1105194,-0.4143138,-0.19267552,-0.37961957,0.12710681,0.090177739,0.2780448,-0.19117225,0.066816697,-0.50177105,-1.114678,0.67900849,0.70901033,-0.19316899,0.25552142,0.38180092,-0.11925056,0.20752077,-0.33347741,-0.46618236,-0.018548064,0.059566018,-0.14395035,0.38006528,0.21214197,0.15336124,0.43193788,0.37684992,-0.85105086,0.72121524,-0.89504396,-0.016579742,-0.052180908,-0.036005258,-0.35164434,-0.89331097,-0.3352091,-0.20273818,0.65872913,-0.23324738,0.16414054,0.14176104,-0.020283879,0.36459275,0.056356635,0.457291,0.037241047,-0.69297837,-0.40839695,-0.017134604,0.129558,0.37544929,0.23294762,0.40460083
6.2196373,0.026164091,-0.051346665,0.059227551,-0.20044173,0.15450777,4.1346963,-0.73234964,-0.59087729,1.4080632,-1.5926221,-0.14308606,-0.052141204,0.45805356,0.0083346695,-0.30037283,-0.27790988,0.010576283,-0.12063069,0.023111293,0.017941861,0.0040472857,0.1756463,0.10819438,0.20614543,0.031986198,0.0053350799,-0.1303075,0.0019484335,-0.20862106,0.023415136,0.14591847,0.15407245,0.22106495,0.10403946,-0.28078734,-0.47267113,0.035636199,-0.11095333,-0.02254219,-0.057653002,-0.021519287,0.16696632,0.21695823,0.2685016,0.32199384,0.18396059,-0.11845403,-0.63123554,-0.095566887,-0.0084799064,0.0035144321,0.022416055,0.012027739,0.088599646,0.32399278,0.39353796,0.40558906,0.30261275,0.12276892,-0.099221096,-0.16877593,-0.093380836,-0.022694546,-0.0036711173,-0.024390625,0.24472754,0.29960204,0.3437734,0.36332345,0.089911455,-0.18095811,-0.1697328,-0.11861504,-0.16444932,0.019289476,-0.083381779,0.14675252,0.13946053,0.023312217,0.092337491,0.041181912,-0.078531364,-0.20046016,-0.25178431,-0.11127104,-0.067786995,0.066389841,-0.015596251,-0.44036767,-0.47610831,-0.24546198,0.24597176,0.1582845,-0.086958989,0.63297759,0.31709358,-0.014424225,-0.44763875,0.0070972427,0.66875266,0.35293147,0.061313582,-0.30814419,-0.46360411,-0.098862592,-1.1111092,-0.32307992,-0.14568339,0.42306109,0.022921697,0.13892151,-0.41341136,0.40212075,-0.45062155,-0.082893242,0.093340671,0.31359935,0.17258229,-0.31491094,-0.4945796,0.68619014,-0.82438597,0.14957525,0.5345113,0.0078098724,0.24357532,-0.63527391,-0.15601271,-0.17428329,0.69038616,-0.54632706,0.011800965,-0.17973986,-0.12503911,0.53886776,0.42329038,0.11757379,-0.03678842,-0.6249395,-0.77192742,-0.14666165,-0.27780296,0.049761219,0.099396869,-0.12894409,-0.48099582,1.0309184,0.45127379,-0.30605369,-0.30673389,0.13984038,0.15833642,0.29581545,-0.46610913,0.18733333,0.63729822,1.1488804,-0.054929546,-0.59382123,-0.5089412,-0.008921313,0.12607038,0.39296436,0.17921898,0.42442786
6.2207433,0.036556224,-0.059367484,0.055404734,-0.20053381,0.15334271,4.1909317,-0.50947851,-0.30730136,1.6512195,-1.7651735,-0.082084232,-0.080684405,0.51786461,0.039834917,-0.25364625,-0.21318849,-0.029249585,-0.11981504,-0.041825958,0.052756347,-0.049225155,0.18056588,0.13960293,0.24334356,-0.016046253,-0.064312702,-0.14935987,-0.04437381,-0.06018337,0.0040826313,0.22154617,0.086146451,0.10747264,0.12597788,-0.15416607,-0.47012668,-0.014294846,0.020163484,-0.076764755,-0.0080222557,-0.022922128,0.15661109,0.13111484,0.40430867,0.39668944,0.167087,-0.087788358,-0.46229642,0.036106766,-0.060064255,-0.083744665,-0.013800728,-0.0092492761,0.12720176,0.29772951,0.44208654,0.39411421,0.3615847,0.097912459,-0.020483536,-0.15529025,-0.066552746,-0.032761911,0.016563628,-0.055354367,0.12604875,0.28217879,0.34406433,0.38525418,0.071726698,-0.21371004,-0.010147792,-0.11196229,-0.15890099,0.037586687,-0.068630816,0.13004507,0.11226858,0.13634643,0.17615589,0.079628017,-0.22187031,-0.19439859,-0.18673421,-0.12007776,-0.028548334,-0.07125796,-0.15511253,-0.3997073,-0.41934938,-0.24676294,0.20417293,-0.047468676,0.066419847,0.20771329,0.49198116,0.34018705,-0.12886317,0.264694,0.62858845,-0.27499801,-0.14499124,-0.32153118,-0.60037321,-0.010519914,-0.54897588,-0.32303707,-0.012191848,0.10260043,-0.07373079,-0.038182982,-0.13087459,-0.60626232,-0.024292268,-0.41055268,0.42357122,0.01890013,0.061204153,-0.2287656,0.4570072,0.086048379,-1.149667,0.62608022,0.85462047,-0.19019355,-0.015741455,0.50265399,-0.29995011,-0.01879133,-0.44829378,-0.32256672,-0.16942797,0.29453138,-0.24719659,0.29656196,0.005628638,-0.057741063,0.3646232,-0.38545173,-1.1367788,-0.16125261,-0.56483061,0.22904669,-0.23717959,-0.45731134,-0.42203565,-0.84056643,0.15592609,-0.55607859,0.51553253,-0.14803846,0.049201966,-0.1246024,-0.011604744,0.29073533,-0.020310855,0.16179072,-0.020452575,-0.75422609,-0.38276309,-0.15039593,0.12380631,0.37226948,0.22270025,0.37945214
6.2263539,0.015166979,-0.053351107,0.061834497,-0.21771229,0.17800521,4.1717713,-0.66310064,-0.46182607,1.7199184,-1.8564427,-0.15641575,-0.095659681,0.47935706,-0.0034001781,-0.29958819,-0.2860463,-0.00035454515,-0.14220019,-0.050637232,0.012783281,-0.031121098,0.076194769,0.078400555,0.25515304,0.040362256,-0.044737043,-0.16641763,0.0092310792,-0.12532008,0.069679997,0.16495887,0.11247016,0.18071966,0.099936191,-0.30307927,-0.53973859,0.040690302,-0.090593272,-0.0074788311,-0.068327069,-0.047680185,0.17911611,0.092126249,0.29949308,0.41645575,0.19005701,-0.12357705,-0.58045287,-0.10678355,-0.040681483,-0.045918501,-0.01454673,-0.014855856,0.08492783,0.30507826,0.3847036,0.40705236,0.32300193,0.13370681,-0.077487467,-0.20924641,-0.12822022,-0.0053043928,-0.031910087,-0.032192939,0.16392329,0.2069209,0.34581018,0.39591199,0.11413367,-0.19190251,-0.1301408,-0.13522713,-0.19084808,0.030090111,-0.093537233,0.075254525,0.10262743,0.10467266,0.12886834,0.12909018,-0.058143407,-0.22171336,-0.25683089,-0.099409833,-0.08652781,0.054038546,-0.018958102,-0.49378745,-0.39529217,-0.24924064,0.34126634,0.19142791,-0.066815494,0.3370098,0.59942424,0.26470134,-0.66716944,0.074458592,0.52935934,-0.33510876,-0.028366727,-0.2778692,-0.53080424,-0.075327195,-0.58533627,-0.088313246,-0.10733032,-0.20585906,0.10954493,-0.39060378,-0.11582933,-0.024792115,-0.38776106,-0.32915676,0.23939649,-0.084349261,-0.2229776,-0.40595656,-0.013090885,-0.068465799,-0.90866648,0.91613539,0.35144029,-0.2568837,0.045098975,-0.10569991,-0.37106437,0.055401102,0.041664066,-0.38973115,-0.030592146,0.36559102,-0.45728341,0.4605813,0.081682553,0.017596821,0.25926383,-0.27155168,-0.99607789,0.16868158,-0.50316564,0.18875052,-0.2469864,-0.38811348,-0.34663072,-0.49584502,-0.30979516,-0.23142138,0.65664255,0.36926627,0.17909351,0.1642322,-0.22369012,0.2584461,0.28069781,0.51150124,0.051498188,-0.73523816,-0.34621797,0.093736095,0.12696083,0.37372797,0.20438972,0.40491085
6.2261443,0.013366671,-0.058428875,0.070732906,-0.21904007,0.15360902,4.2320243,-0.61769465,-0.50619596,2.2306952,-2.4158276,-0.070168213,-0.070876312,0.55864387,0.014689823,-0.33360914,-0.19106666,-0.082604299,-0.13891945,-0.010312599,0.0069668225,-0.072759366,0.20959897,0.10915373,0.21765599,-0.0065863754,-0.071351385,-0.14387191,-0.079215725,-0.15689424,-0.035656227,0.14589482,0.14623781,0.11214697,0.15506827,-0.110003,-0.38086727,-0.10461245,-0.030198078,-0.080292048,-0.0027654658,-0.029606456,0.19962486,0.17589327,0.40014019,0.3369759,0.18913789,-0.066863355,-0.50056443,-0.0052126446,-0.036695506,-0.08938284,0.018108967,0.03498336,0.11415473,0.31792345,0.48861882,0.39683169,0.37544007,0.052177224,-0.10556885,-0.17628493,-0.072785321,-0.05840739,-0.0013457353,-0.073463243,0.20086292,0.26617939,0.34646034,0.39927176,0.068917112,-0.14654646,-0.12122666,-0.13398876,-0.18858884,-0.012594162,-0.076229344,0.18675297,0.13218987,0.077961308,0.1365719,-0.010691726,-0.16486215,-0.23281532,-0.18480642,-0.14525829,0.0092762004,-0.059387682,-0.040305525,-0.36812073,-0.52591305,-0.23776546,0.43305137,0.00064684536,-0.28216344,1.0356779,0.23918879,0.19916905,-0.17484619,0.18808883,-0.10900896,-0.47652149,-0.22849297,-0.14666823,-0.53084234,-0.14994695,-1.4211537,-0.33786213,-0.15539736,-0.34631705,-0.28426502,-0.088254956,-0.20740157,-0.074298991,-0.10175266,-0.30200169,-0.034391536,-0.45843888,0.36096264,-0.27519554,-0.27294657,0.44194965,-0.93377294,0.54572995,0.47765546,-0.24509521,0.021690135,-0.1176939,-0.31926686,0.54097173,-0.19678085,-0.28984201,-0.24121935,0.06832502,-0.24323289,1.0162005,0.58663377,0.24891837,0.0069579234,-0.1148039,-1.0179238,-0.52654075,-0.71874722,-0.2035772,-0.051867631,-0.022560133,-0.61418784,0.096820456,0.42698046,-0.83878557,-0.46314357,-0.096009265,0.053785111,0.031738887,-0.2650272,0.17112117,-0.024901125,0.53496631,-0.053720963,-0.75831213,-0.52335233,0.046748167,0.12451694,0.37829505,0.21822117,0.53825548
6.2195074,0.013458231,-0.054092484,0.068665596,-0.22057915,0.15292103,4.2026101,-0.63551446,-0.46882167,0.74032701,-0.93212563,-0.10536317,-0.060668638,0.52805628,-0.044159732,-0.28536178,-0.13796193,-0.024096174,-0.12893366,-0.057626252,-0.022733276,-0.019138939,0.15157622,0.078740807,0.27811474,0.10322014,-0.088631992,-0.13068358,-0.056578779,-0.16024667,-0.018322143,0.16169947,0.13871659,0.16491082,0.10800746,-0.16128411,-0.45057361,0.0038390288,-0.046664293,-0.043062777,-0.02823637,-0.074418112,0.18355218,0.16330054,0.40027954,0.39462915,0.24516864,-0.085407597,-0.45632268,-0.033990592,-0.044548661,-0.014282771,-0.015688152,0.057207405,0.14494594,0.25910934,0.41409471,0.43814644,0.37368106,0.12713748,-0.097806822,-0.20779184,-0.082386126,0.0090954604,-0.011518243,-0.041341991,0.11369536,0.26138084,0.35334878,0.3963831,0.10544157,-0.14967099,-0.039370497,-0.12269719,-0.11104218,0.050597908,-0.085366074,0.13835128,0.091235963,0.15619706,0.13099773,0.010394706,-0.17878354,-0.19779334,-0.23972754,-0.14453344,-0.080224531,0.030577222,-0.084958552,-0.37250134,-0.39642909,-0.30637376,0.3042228,0.027470611,0.15123261,1.0669672,-0.20864581,0.28339871,-0.16546788,0.21918885,-0.47776081,-0.49313292,0.19551289,-0.43017679,-0.57953956,-0.20486856,-1.0312754,-0.39112535,-0.12786282,-0.737552,-0.057448656,-0.12998541,-0.34004297,-0.1250975,-0.14995242,-0.32352575,0.19322622,0.15918798,-0.098873196,-0.26292316,-0.37905735,0.53344785,-1.210448,0.49991301,0.33929287,-0.28307278,0.050628711,0.3580958,-0.19072549,0.1563629,0.12914716,-0.47752719,-0.02369255,-0.48504764,-0.38204543,0.81577825,0.87036034,-0.086835159,0.20604059,-0.31517362,-0.79957917,-0.41706275,-0.33494622,-0.15072499,-0.093484073,-0.45005907,-0.65164352,-0.015808129,0.691272,-0.74690767,0.1573993,-0.14672144,0.1135103,0.1280475,-0.42639607,0.15825218,-0.1105304,0.44784573,-0.074649892,-0.90532154,-0.46755918,-0.11504719,0.12653929,0.37335232,0.15339722,0.41181233
6.2216826,0.022385611,-0.071126868,0.068624412,-0.2082419,0.15662024,4.229355,-0.61102917,-0.45716989,0.52865265,-0.74309479,-0.09952702,-0.035139701,0.4966761,0.014373909,-0.29683846,-0.21044716,-0.095870923,-0.16515953,-0.1187981,-0.0063536974,-0.037506974,0.14583878,0.048071202,0.17491239,0.024279346,-0.082096816,-0.1667204,-0.034135155,-0.10581461,0.049452053,0.16027782,0.12999674,0.13575173,0.22015362,-0.19373911,-0.38009592,0.04182947,-0.065615329,-0.075266679,-0.060068003,0.020569131,0.18228272,0.20625332,0.31305178,0.4050144,0.16360594,-0.070748902,-0.55748663,-0.071898734,-0.014705687,-0.044141294,0.0060825842,0.032560589,0.13140356,0.36935973,0.44964809,0.34598929,0.34419245,0.1035952,-0.042982164,-0.15907654,-0.10619737,-0.073890389,-0.029348187,0.00091675837,0.26258959,0.28203008,0.36888768,0.37290637,0.040473365,-0.22550477,0.010770091,-0.13435513,-0.13022189,0.059636216,-0.083155123,0.1068798,0.14473917,0.029868687,0.13608851,0.12510724,-0.21792465,-0.24556349,-0.19666977,-0.12482845,-0.0063831987,-0.07072055,-0.12698912,-0.39229342,-0.48108293,-0.15103462,0.00033209834,-0.30966493,0.46713057,0.71556355,0.33156738,-0.44226589,-0.20356072,0.13662162,-0.025442077,-0.31158579,-0.28519946,-0.31252016,-0.68165463,-0.06572247,-1.3961994,-0.34849346,-0.28427877,0.32492709,-0.023686092,-0.53564033,-0.19305672,0.12325928,-0.30349018,-0.33683912,0.86066323,0.18226512,0.0075939656,-0.39315513,-0.27179419,-0.053494693,-1.4004146,0.73345362,0.75134845,-0.30377393,0.18844847,-0.19600802,-0.16808121,-0.19789139,0.46172881,-0.09119755,-0.40030058,-0.023996784,-0.47323117,0.9410942,0.3097409,0.28866011,-0.013690634,-0.26623857,-0.83124228,-0.035192834,-0.32067788,-0.12492156,-0.040708201,-0.033297073,-0.017692221,0.074640281,-0.44403498,-0.5023505,0.31587489,-0.27482459,0.18255214,-0.0017054258,-0.21635681,0.1996048,0.10701364,0.75871,0.015994327,-0.75699813,-0.6081194,0.23936688,0.12293379,0.36759894,0.23604756,0.48391021
6.218887,0.0095291531,-0.071794651,0.074549157,-0.21948801,0.14675605,4.240281,-0.62892701,-0.61099792,0.56873249,-0.81535309,-0.19442484,-0.04998899,0.51897862,-0.083962338,-0.36867533,-0.24658755,-0.092276577,-0.12609084,-0.089877716,-0.014541233,-0.010899182,0.20470785,0.0076515901,0.26228193,0.036095347,-0.019938078,-0.18497142,-0.045087011,-0.10137871,0.071671554,0.14382879,0.095618398,0.17827655,0.16435308,-0.15650782,-0.40508668,-0.019134239,-0.0089397906,-0.021968407,0.01775818,-0.0077086653,0.17123391,0.20076404,0.28111582,0.40757637,0.19085838,-0.055352298,-0.47562046,-0.024820202,0.030771333,-0.054182287,-0.0051665919,0.068899164,0.11766536,0.4047969,0.43497266,0.3441521,0.33259237,0.17010175,-0.030099465,-0.21134455,-0.12685022,-0.049037226,0.028352092,-0.025105047,0.23228378,0.27306977,0.36535965,0.34711892,0.10160482,-0.22498946,-0.086020799,-0.14815476,-0.15851297,0.073993782,-0.12877933,0.14192735,0.10470306,0.051694546,0.19411742,0.044689143,-0.079960029,-0.18887307,-0.22399986,-0.12412959,-0.085226272,-0.028811119,-0.10267373,-0.40609818,-0.46754747,-0.12133222,0.23484242,-0.52116974,0.66369892,0.57310132,0.6955882,-0.43728675,-0.44410658,0.56419102,-0.15693609,-0.65140502,-0.13189191,-0.58580713,-0.74966009,-0.12392562,-1.1378439,-0.26098983,-0.13444115,0.4781887,-0.087274334,-0.36909721,-0.23892822,-0.27523664,-0.3821248,-0.532284,0.27435993,-0.0626489,-0.053068194,-0.44678845,-0.28211192,0.32620265,-0.95042897,0.39470334,0.32023736,-0.30274034,0.19976882,0.21329488,-0.076318179,-0.062102726,0.15973288,-0.055308465,-0.21702803,0.25005676,-0.44917771,0.79162971,0.054556953,0.2456982,-0.039260588,-0.35646284,-0.89877541,0.054479207,-0.62298778,-0.12084085,-0.1494099,0.18489434,-0.5058223,0.031739814,-0.69928596,-0.20335393,0.1237624,-0.20478928,0.34635892,-0.22202688,-0.2344778,0.086231745,-0.16835394,0.30095137,-0.12790069,-0.75936924,-0.54700269,0.10529199,0.1229491,0.38082668,0.2212163,0.48263929
6.2207022,0.008505451,-0.071770028,0.072788332,-0.22179742,0.15007631,4.2423495,-0.63702794,-0.59680144,0.66916017,-0.89685664,-0.18714833,-0.042680942,0.52067511,-0.079662199,-0.37070925,-0.25327061,-0.10567186,-0.13394856,-0.089844593,-0.010281291,-0.0071758199,0.19651586,0.0061193888,0.26349561,0.041776004,-0.034994762,-0.18308872,-0.03834596,-0.1011544,0.072104825,0.13948703,0.097300982,0.1741267,0.16576075,-0.14722922,-0.41376581,-0.018677738,-0.011251615,-0.019576807,0.011973875,-0.011797859,0.17458777,0.1955786,0.28209916,0.40437376,0.1929406,-0.053550307,-0.48191871,-0.029684101,0.022473693,-0.055064766,-0.01252352,0.069209712,0.11893612,0.40656984,0.43145188,0.33998174,0.33714425,0.17073648,-0.027672291,-0.20528742,-0.12416296,-0.04980845,0.024041735,-0.028050086,0.22695745,0.27152779,0.36528332,0.35129432,0.10078603,-0.22145061,-0.089303352,-0.15898731,-0.1527303,0.078520662,-0.1280341,0.14116121,0.098352586,0.052197663,0.19224529,0.044447506,-0.075967098,-0.18683145,-0.21120058,-0.12448698,-0.082211304,-0.030267638,-0.10857443,-0.40999169,-0.46527846,-0.12776784,0.23669299,-0.56135556,0.6540919,0.5545035,0.71924226,-0.41385472,-0.44062617,0.56887599,-0.1211358,-0.61386469,-0.11397176,-0.61119456,-0.76257729,-0.15833362,-1.1380101,-0.24425032,-0.15419027,0.44867851,-0.087774149,-0.38665579,-0.22440083,-0.26298941,-0.36210315,-0.52390453,0.2247193,-0.061155404,-0.030287204,-0.45956275,-0.24994049,0.33218916,-1.0057168,0.43576084,0.29499568,-0.30746415,0.19111066,0.30843803,-0.088367514,-0.076448297,0.06882063,-0.063706755,-0.19493656,0.33091503,-0.43883246,0.8031687,0.039171833,0.23314158,-0.047407607,-0.37206705,-0.88835352,0.011681071,-0.61777688,-0.14242713,-0.14271937,0.19910471,-0.47525475,0.0054663248,-0.71292415,-0.20538293,0.13057949,-0.21795583,0.33752346,-0.25475206,-0.26158115,0.082937075,-0.1771626,0.3229469,-0.092761186,-0.73840075,-0.5355418,0.11304505,0.1228317,0.38146965,0.22158493,0.47392354
