context,model,sites,xi,delta,price_model,pee,metric,abs_metric,source_kind,source_file
parameter_ambiguity,det,1043,inf,0.03,,4.5,0.08682821867598338,0.08682821867598338,shadow_price_local_log,job-outs/stage_deterministic/shadow_prices_det_delta_sensitivity/0001_run.out
parameter_ambiguity,det,1043,inf,0.03,,4.6,0.0637311958906036,0.0637311958906036,shadow_price_local_log,job-outs/stage_deterministic/shadow_prices_det_delta_sensitivity/0002_run.out
parameter_ambiguity,det,1043,inf,0.03,,4.7,0.04725055203309989,0.04725055203309989,shadow_price_local_log,job-outs/stage_deterministic/shadow_prices_det_delta_sensitivity/0003_run.out
parameter_ambiguity,det,1043,inf,0.03,,4.8,0.027619796684661847,0.027619796684661847,shadow_price_local_log,job-outs/stage_deterministic/shadow_prices_det_delta_sensitivity/0004_run.out
parameter_ambiguity,det,1043,inf,0.03,,4.9,0.008818550684546839,0.008818550684546839,shadow_price_local_log,job-outs/stage_deterministic/shadow_prices_det_delta_sensitivity/0005_run.out
parameter_ambiguity,det,1043,inf,0.03,,5.0,-0.00950597655783548,0.00950597655783548,shadow_price_local_log,job-outs/stage_deterministic/shadow_prices_det_delta_sensitivity/0006_run.out
parameter_ambiguity,det,1043,inf,0.03,,5.1,-0.024113154453883425,0.024113154453883425,shadow_price_local_log,job-outs/stage_deterministic/shadow_prices_det_delta_sensitivity/0007_run.out
parameter_ambiguity,det,1043,inf,0.03,,5.2,-0.039124392715564595,0.039124392715564595,shadow_price_local_log,job-outs/stage_deterministic/shadow_prices_det_delta_sensitivity/0008_run.out
parameter_ambiguity,det,1043,inf,0.03,,5.3,-0.05862487563106567,0.05862487563106567,shadow_price_local_log,job-outs/stage_deterministic/shadow_prices_det_delta_sensitivity/0009_run.out
parameter_ambiguity,det,1043,inf,0.03,,5.4,-0.08288205140750979,0.08288205140750979,shadow_price_local_log,job-outs/stage_deterministic/shadow_prices_det_delta_sensitivity/0010_run.out
parameter_ambiguity,det,1043,inf,0.03,,5.5,-0.09848083405873372,0.09848083405873372,shadow_price_local_log,job-outs/stage_deterministic/shadow_prices_det_delta_sensitivity/0011_run.out
parameter_ambiguity,det,1043,inf,0.03,,5.6,-0.11158871955497471,0.11158871955497471,shadow_price_local_log,job-outs/stage_deterministic/shadow_prices_det_delta_sensitivity/0012_run.out
parameter_ambiguity,det,1043,inf,0.03,,5.7,-0.12808274489926727,0.12808274489926727,shadow_price_local_log,job-outs/stage_deterministic/shadow_prices_det_delta_sensitivity/0013_run.out
parameter_ambiguity,det,1043,inf,0.03,,5.8,-0.14425063267721558,0.14425063267721558,shadow_price_local_log,job-outs/stage_deterministic/shadow_prices_det_delta_sensitivity/0014_run.out
parameter_ambiguity,det,1043,inf,0.03,,5.9,-0.16514657959212448,0.16514657959212448,shadow_price_local_log,job-outs/stage_deterministic/shadow_prices_det_delta_sensitivity/0015_run.out
parameter_ambiguity,det,1043,inf,0.03,,6.0,-0.18432976807022924,0.18432976807022924,shadow_price_local_log,job-outs/stage_deterministic/shadow_prices_det_delta_sensitivity/0016_run.out
parameter_ambiguity,det,1043,inf,0.03,,6.6,-0.2709128473614982,0.2709128473614982,shadow_price_local_log,job-outs/stage_deterministic/shadow_prices_det_delta_sensitivity/0017_run.out
parameter_ambiguity,det,1043,inf,0.03,,6.7,-0.2974617957123982,0.2974617957123982,shadow_price_local_log,job-outs/stage_deterministic/shadow_prices_det_delta_sensitivity/0018_run.out
parameter_ambiguity,det,1043,inf,0.03,,6.8,-0.318197515006512,0.318197515006512,shadow_price_local_log,job-outs/stage_deterministic/shadow_prices_det_delta_sensitivity/0019_run.out
parameter_ambiguity,det,1043,inf,0.03,,6.9,-0.3311060973869921,0.3311060973869921,shadow_price_local_log,job-outs/stage_deterministic/shadow_prices_det_delta_sensitivity/0020_run.out
parameter_ambiguity,det,1043,inf,0.03,,7.0,-0.3502319373914472,0.3502319373914472,shadow_price_local_log,job-outs/stage_deterministic/shadow_prices_det_delta_sensitivity/0021_run.out
parameter_ambiguity,det,1043,inf,0.03,,7.1,-0.36709346965812817,0.36709346965812817,shadow_price_local_log,job-outs/stage_deterministic/shadow_prices_det_delta_sensitivity/0022_run.out
parameter_ambiguity,det,1043,inf,0.03,,7.2,-0.38287745851545246,0.38287745851545246,shadow_price_local_log,job-outs/stage_deterministic/shadow_prices_det_delta_sensitivity/0023_run.out
parameter_ambiguity,det,1043,inf,0.03,,7.3,-0.40128863560393274,0.40128863560393274,shadow_price_local_log,job-outs/stage_deterministic/shadow_prices_det_delta_sensitivity/0024_run.out
parameter_ambiguity,det,1043,inf,0.03,,7.4,-0.42154114292809064,0.42154114292809064,shadow_price_local_log,job-outs/stage_deterministic/shadow_prices_det_delta_sensitivity/0025_run.out
parameter_ambiguity,det,1043,inf,0.03,,7.5,-0.43531674017630717,0.43531674017630717,shadow_price_local_log,job-outs/stage_deterministic/shadow_prices_det_delta_sensitivity/0026_run.out
parameter_ambiguity,det,1043,inf,0.03,,7.6,-0.4534750909049185,0.4534750909049185,shadow_price_local_log,job-outs/stage_deterministic/shadow_prices_det_delta_sensitivity/0027_run.out
parameter_ambiguity,det,1043,inf,0.03,,7.7,-0.4701659901264425,0.4701659901264425,shadow_price_local_log,job-outs/stage_deterministic/shadow_prices_det_delta_sensitivity/0028_run.out
parameter_ambiguity,det,1043,inf,0.03,,7.8,-0.4869481477438691,0.4869481477438691,shadow_price_local_log,job-outs/stage_deterministic/shadow_prices_det_delta_sensitivity/0029_run.out
parameter_ambiguity,det,1043,inf,0.03,,7.9,-0.5030845601822134,0.5030845601822134,shadow_price_local_log,job-outs/stage_deterministic/shadow_prices_det_delta_sensitivity/0030_run.out
parameter_ambiguity,det,1043,inf,0.03,,8.0,-0.5178372547642629,0.5178372547642629,shadow_price_local_log,job-outs/stage_deterministic/shadow_prices_det_delta_sensitivity/0031_run.out
