context,model,sites,xi,pe,b,mc,prob_from_low_to_low,prob_from_high_to_high,source_file
price_stochasticity,unconstrained,78,0.5,6.1,0.0,998,0.98311359,0.16395947,job-outs/stage_mpc/mpc_hmc_pre_unconstrained/0026_run.out
price_stochasticity,unconstrained,78,0.5,16.1,10.0,998,0.79123366,0.75101032,job-outs/stage_mpc/mpc_hmc_pre_unconstrained/0027_run.out
price_stochasticity,unconstrained,78,0.5,21.1,15.0,998,0.74071239,0.80014341,job-outs/stage_mpc/mpc_hmc_pre_unconstrained/0028_run.out
price_stochasticity,unconstrained,78,0.5,26.1,20.0,998,0.72607065,0.81194761,job-outs/stage_mpc/mpc_hmc_pre_unconstrained/0029_run.out
price_stochasticity,unconstrained,78,0.5,31.1,25.0,998,0.71630417,0.8192664199999999,job-outs/stage_mpc/mpc_hmc_pre_unconstrained/0030_run.out
price_stochasticity,unconstrained,78,1,6.5,0.0,998,0.91406113,0.51781805,job-outs/stage_mpc/mpc_hmc_pre_unconstrained/0016_run.out
price_stochasticity,unconstrained,78,1,16.5,10.0,998,0.74920368,0.79296694,job-outs/stage_mpc/mpc_hmc_pre_unconstrained/0017_run.out
price_stochasticity,unconstrained,78,1,21.5,15.0,998,0.72319333,0.81417874,job-outs/stage_mpc/mpc_hmc_pre_unconstrained/0018_run.out
price_stochasticity,unconstrained,78,1,26.5,20.0,998,0.71609127,0.81948239,job-outs/stage_mpc/mpc_hmc_pre_unconstrained/0019_run.out
price_stochasticity,unconstrained,78,1,31.5,25.0,998,0.71152891,0.82276231,job-outs/stage_mpc/mpc_hmc_pre_unconstrained/0020_run.out
price_stochasticity,unconstrained,78,inf,6.9,0.0,998,0.70702865,0.82598008,job-outs/stage_mpc/mpc_hmc_pre_unconstrained/0006_run.out
price_stochasticity,unconstrained,78,inf,16.9,10.0,998,0.7070042,0.82599707,job-outs/stage_mpc/mpc_hmc_pre_unconstrained/0007_run.out
price_stochasticity,unconstrained,78,inf,21.9,15.0,998,0.70700155,0.82599891,job-outs/stage_mpc/mpc_hmc_pre_unconstrained/0008_run.out
price_stochasticity,unconstrained,78,inf,26.9,20.0,998,0.70700086,0.8259993999999999,job-outs/stage_mpc/mpc_hmc_pre_unconstrained/0009_run.out
price_stochasticity,unconstrained,78,inf,31.9,25.0,998,0.70700044,0.82599969,job-outs/stage_mpc/mpc_hmc_pre_unconstrained/0010_run.out
