number_id,source_file,source_type,row,column,value,context,label
carbon_price_1,replication/derived/carbon_prices.csv,derived_carbon_price,1,pee,6.7,parameter_ambiguity,parameter_ambiguity det xi=\infty
carbon_price_2,replication/derived/carbon_prices.csv,derived_carbon_price,2,pee,6.8,parameter_ambiguity,parameter_ambiguity det xi=\infty
carbon_price_3,replication/derived/carbon_prices.csv,derived_carbon_price,3,pee,2.8,parameter_ambiguity,parameter_ambiguity hmc xi=0.5
carbon_price_4,replication/derived/carbon_prices.csv,derived_carbon_price,4,pee,4.8,parameter_ambiguity,parameter_ambiguity hmc xi=1
carbon_price_5,replication/derived/carbon_prices.csv,derived_carbon_price,5,pee,5.6,parameter_ambiguity,parameter_ambiguity hmc xi=2
carbon_price_6,replication/derived/carbon_prices.csv,derived_carbon_price,6,pee,5.6,price_stochasticity,price_stochasticity constrained xi=0.5
carbon_price_7,replication/derived/carbon_prices.csv,derived_carbon_price,7,pee,6.2,price_stochasticity,price_stochasticity constrained xi=1
carbon_price_8,replication/derived/carbon_prices.csv,derived_carbon_price,8,pee,6.7,price_stochasticity,price_stochasticity constrained xi=\infty
carbon_price_9,replication/derived/carbon_prices.csv,derived_carbon_price,9,pee,6.1,price_stochasticity,price_stochasticity unconstrained xi=0.5
carbon_price_10,replication/derived/carbon_prices.csv,derived_carbon_price,10,pee,6.5,price_stochasticity,price_stochasticity unconstrained xi=1
carbon_price_11,replication/derived/carbon_prices.csv,derived_carbon_price,11,pee,6.9,price_stochasticity,price_stochasticity unconstrained xi=\infty
mpc_transition_1_prob_from_low_to_low,job-outs/stage_mpc/mpc_hmc_pre_unconstrained/0026_run.out,mpc_run_log_transition_probability,1,prob_from_low_to_low,0.98311359,price_stochasticity,b=0 unconstrained xi=0.5 pe=6.1 mc=998
mpc_transition_1_prob_from_high_to_high,job-outs/stage_mpc/mpc_hmc_pre_unconstrained/0026_run.out,mpc_run_log_transition_probability,1,prob_from_high_to_high,0.16395947,price_stochasticity,b=0 unconstrained xi=0.5 pe=6.1 mc=998
mpc_transition_2_prob_from_low_to_low,job-outs/stage_mpc/mpc_hmc_pre_unconstrained/0027_run.out,mpc_run_log_transition_probability,2,prob_from_low_to_low,0.79123366,price_stochasticity,b=10 unconstrained xi=0.5 pe=16.1 mc=998
mpc_transition_2_prob_from_high_to_high,job-outs/stage_mpc/mpc_hmc_pre_unconstrained/0027_run.out,mpc_run_log_transition_probability,2,prob_from_high_to_high,0.75101032,price_stochasticity,b=10 unconstrained xi=0.5 pe=16.1 mc=998
mpc_transition_3_prob_from_low_to_low,job-outs/stage_mpc/mpc_hmc_pre_unconstrained/0028_run.out,mpc_run_log_transition_probability,3,prob_from_low_to_low,0.74071239,price_stochasticity,b=15 unconstrained xi=0.5 pe=21.1 mc=998
mpc_transition_3_prob_from_high_to_high,job-outs/stage_mpc/mpc_hmc_pre_unconstrained/0028_run.out,mpc_run_log_transition_probability,3,prob_from_high_to_high,0.80014341,price_stochasticity,b=15 unconstrained xi=0.5 pe=21.1 mc=998
mpc_transition_4_prob_from_low_to_low,job-outs/stage_mpc/mpc_hmc_pre_unconstrained/0029_run.out,mpc_run_log_transition_probability,4,prob_from_low_to_low,0.72607065,price_stochasticity,b=20 unconstrained xi=0.5 pe=26.1 mc=998
mpc_transition_4_prob_from_high_to_high,job-outs/stage_mpc/mpc_hmc_pre_unconstrained/0029_run.out,mpc_run_log_transition_probability,4,prob_from_high_to_high,0.81194761,price_stochasticity,b=20 unconstrained xi=0.5 pe=26.1 mc=998
mpc_transition_5_prob_from_low_to_low,job-outs/stage_mpc/mpc_hmc_pre_unconstrained/0030_run.out,mpc_run_log_transition_probability,5,prob_from_low_to_low,0.71630417,price_stochasticity,b=25 unconstrained xi=0.5 pe=31.1 mc=998
mpc_transition_5_prob_from_high_to_high,job-outs/stage_mpc/mpc_hmc_pre_unconstrained/0030_run.out,mpc_run_log_transition_probability,5,prob_from_high_to_high,0.8192664199999999,price_stochasticity,b=25 unconstrained xi=0.5 pe=31.1 mc=998
mpc_transition_6_prob_from_low_to_low,job-outs/stage_mpc/mpc_hmc_pre_unconstrained/0016_run.out,mpc_run_log_transition_probability,6,prob_from_low_to_low,0.91406113,price_stochasticity,b=0 unconstrained xi=1 pe=6.5 mc=998
mpc_transition_6_prob_from_high_to_high,job-outs/stage_mpc/mpc_hmc_pre_unconstrained/0016_run.out,mpc_run_log_transition_probability,6,prob_from_high_to_high,0.51781805,price_stochasticity,b=0 unconstrained xi=1 pe=6.5 mc=998
mpc_transition_7_prob_from_low_to_low,job-outs/stage_mpc/mpc_hmc_pre_unconstrained/0017_run.out,mpc_run_log_transition_probability,7,prob_from_low_to_low,0.74920368,price_stochasticity,b=10 unconstrained xi=1 pe=16.5 mc=998
mpc_transition_7_prob_from_high_to_high,job-outs/stage_mpc/mpc_hmc_pre_unconstrained/0017_run.out,mpc_run_log_transition_probability,7,prob_from_high_to_high,0.79296694,price_stochasticity,b=10 unconstrained xi=1 pe=16.5 mc=998
mpc_transition_8_prob_from_low_to_low,job-outs/stage_mpc/mpc_hmc_pre_unconstrained/0018_run.out,mpc_run_log_transition_probability,8,prob_from_low_to_low,0.72319333,price_stochasticity,b=15 unconstrained xi=1 pe=21.5 mc=998
mpc_transition_8_prob_from_high_to_high,job-outs/stage_mpc/mpc_hmc_pre_unconstrained/0018_run.out,mpc_run_log_transition_probability,8,prob_from_high_to_high,0.81417874,price_stochasticity,b=15 unconstrained xi=1 pe=21.5 mc=998
mpc_transition_9_prob_from_low_to_low,job-outs/stage_mpc/mpc_hmc_pre_unconstrained/0019_run.out,mpc_run_log_transition_probability,9,prob_from_low_to_low,0.71609127,price_stochasticity,b=20 unconstrained xi=1 pe=26.5 mc=998
mpc_transition_9_prob_from_high_to_high,job-outs/stage_mpc/mpc_hmc_pre_unconstrained/0019_run.out,mpc_run_log_transition_probability,9,prob_from_high_to_high,0.81948239,price_stochasticity,b=20 unconstrained xi=1 pe=26.5 mc=998
mpc_transition_10_prob_from_low_to_low,job-outs/stage_mpc/mpc_hmc_pre_unconstrained/0020_run.out,mpc_run_log_transition_probability,10,prob_from_low_to_low,0.71152891,price_stochasticity,b=25 unconstrained xi=1 pe=31.5 mc=998
mpc_transition_10_prob_from_high_to_high,job-outs/stage_mpc/mpc_hmc_pre_unconstrained/0020_run.out,mpc_run_log_transition_probability,10,prob_from_high_to_high,0.82276231,price_stochasticity,b=25 unconstrained xi=1 pe=31.5 mc=998
mpc_transition_11_prob_from_low_to_low,job-outs/stage_mpc/mpc_hmc_pre_unconstrained/0006_run.out,mpc_run_log_transition_probability,11,prob_from_low_to_low,0.70702865,price_stochasticity,b=0 unconstrained xi=\infty pe=6.9 mc=998
mpc_transition_11_prob_from_high_to_high,job-outs/stage_mpc/mpc_hmc_pre_unconstrained/0006_run.out,mpc_run_log_transition_probability,11,prob_from_high_to_high,0.82598008,price_stochasticity,b=0 unconstrained xi=\infty pe=6.9 mc=998
mpc_transition_12_prob_from_low_to_low,job-outs/stage_mpc/mpc_hmc_pre_unconstrained/0007_run.out,mpc_run_log_transition_probability,12,prob_from_low_to_low,0.7070042,price_stochasticity,b=10 unconstrained xi=\infty pe=16.9 mc=998
mpc_transition_12_prob_from_high_to_high,job-outs/stage_mpc/mpc_hmc_pre_unconstrained/0007_run.out,mpc_run_log_transition_probability,12,prob_from_high_to_high,0.82599707,price_stochasticity,b=10 unconstrained xi=\infty pe=16.9 mc=998
mpc_transition_13_prob_from_low_to_low,job-outs/stage_mpc/mpc_hmc_pre_unconstrained/0008_run.out,mpc_run_log_transition_probability,13,prob_from_low_to_low,0.70700155,price_stochasticity,b=15 unconstrained xi=\infty pe=21.9 mc=998
mpc_transition_13_prob_from_high_to_high,job-outs/stage_mpc/mpc_hmc_pre_unconstrained/0008_run.out,mpc_run_log_transition_probability,13,prob_from_high_to_high,0.82599891,price_stochasticity,b=15 unconstrained xi=\infty pe=21.9 mc=998
mpc_transition_14_prob_from_low_to_low,job-outs/stage_mpc/mpc_hmc_pre_unconstrained/0009_run.out,mpc_run_log_transition_probability,14,prob_from_low_to_low,0.70700086,price_stochasticity,b=20 unconstrained xi=\infty pe=26.9 mc=998
mpc_transition_14_prob_from_high_to_high,job-outs/stage_mpc/mpc_hmc_pre_unconstrained/0009_run.out,mpc_run_log_transition_probability,14,prob_from_high_to_high,0.8259993999999999,price_stochasticity,b=20 unconstrained xi=\infty pe=26.9 mc=998
mpc_transition_15_prob_from_low_to_low,job-outs/stage_mpc/mpc_hmc_pre_unconstrained/0010_run.out,mpc_run_log_transition_probability,15,prob_from_low_to_low,0.70700044,price_stochasticity,b=25 unconstrained xi=\infty pe=31.9 mc=998
mpc_transition_15_prob_from_high_to_high,job-outs/stage_mpc/mpc_hmc_pre_unconstrained/0010_run.out,mpc_run_log_transition_probability,15,prob_from_high_to_high,0.82599969,price_stochasticity,b=25 unconstrained xi=\infty pe=31.9 mc=998
hmm_information_criteria_r1_c1,output/tables/hmm_information_criteria.tex,latex_table_cell,1,1,,,
hmm_information_criteria_r1_c2,output/tables/hmm_information_criteria.tex,latex_table_cell,1,2,distinct variances,,
