exhibit,kind,status,missing_patterns,matched_files,program,status_note
Figure 1,figure,complete,,output/figures/scatter_emission_gdp_log.png,python pysrc/scripts/figure1.py,
Figure 2,figure,missing,RAs/results_in_paper/gamma_secondary_vegetation.png,,Rscript rsrc/analysis/carbon_capture_curves/_masterfile.R,
Figure 3,figure,missing,RAs/results_in_paper/map_z2017_1043Sites.png|RAs/results_in_paper/map_x2017_1043Sites.png,,Rscript rsrc/analysis/calibration_maps_1043_sites.R,
Figure 4,figure,missing,RAs/results_in_paper/map_gamma_fit.png|RAs/results_in_paper/map_theta_fit.png,,Rscript rsrc/analysis/calibration_maps_1043_sites.R,
Figure 5,figure,complete,,output/figures/pred_zshare_1043_sites_det.png|output/figures/plot_pred_x_1043_sites_det.png,python pysrc/scripts/conduction_det.py,
Figure 6,figure,complete,,output/figures/net_transfers.png,python pysrc/scripts/conduction_det.py,
Figure 7,figure,missing,RAs/results_in_paper/map_z0z30GammaTheta_1043Sites_allPrices_det.png,,Rscript rsrc/analysis/map_1043_det.R,
Figure 8,figure,missing,RAs/results_in_paper/map_zDecades_1043Sites_pe21.8_det.png,,Rscript rsrc/analysis/map_1043_det.R,
Figure 9,figure,complete,,output/figures/density/site_1043/xi1.0/theta_distribution_985_b0_xi_1.0.png|output/figures/density/site_1043/xi1.0/gamma_distribution_929_b0_xi_1.0.png|output/figures/density/site_1043/xi1.0/theta_distribution_1028_b15_xi_1.0.png|output/figures/density/site_1043/xi1.0/gamma_distribution_938_b15_xi_1.0.png,python pysrc/scripts/conduction_hmc.py --figures density --xi 1,
Figure 10,figure,complete,,output/figures/decision_histogram_pehmc_6.8_pedet_6.8_xi_1.0.png,python pysrc/scripts/conduction_hmc.py --figures histograms --xi 1,
Figure 11,figure,complete,,output/figures/aggregate_percentage_Z_b0_pehmc_6.8_pedet_6.8_xi_1.0.png,python pysrc/scripts/conduction_hmc.py --figures trajectories --xi 1,
Figure 12,figure,complete,,output/figures/decision_histogram_pehmc_4.8_pedet_6.8_xi_1.0.png|output/figures/decision_histogram_pehmc_19.8_pedet_21.8_xi_1.0.png,python pysrc/scripts/conduction_hmc.py --figures histograms --xi 1,
Figure 13,figure,complete,,output/figures/aggregate_percentage_Z_b0_pehmc_4.8_pedet_6.8_xi_1.0_same_ylim.png|output/figures/aggregate_percentage_Z_b15_pehmc_19.8_pedet_21.8_xi_1.0_same_ylim.png,python pysrc/scripts/conduction_hmc.py --figures trajectories --xi 1,
