table_number,reference_file,generated_file,reference_exists,exact_file_match,active_numeric_match,format_source,numeric_diff_note,source_files
1,replication/results_in_paper_table_templates/Shadowprice.tex,results_in_paper/Table1_Shadowprice.tex,False,False,False,rendered_from_outputs,no results_in_paper table reference available,replication/derived/carbon_prices.csv
2,replication/results_in_paper_table_templates/pvd_det_1043.tex,results_in_paper/Table2_pvd_det_1043.tex,False,False,False,rendered_from_outputs,no results_in_paper table reference available,output/tables/present_value_site1043_pa41.11_det.tex
3,replication/results_in_paper_table_templates/transfersCost_1043Sites_det.tex,results_in_paper/Table3_transfersCost_1043Sites_det.tex,False,False,False,rendered_from_outputs,no results_in_paper table reference available,output/tables/transfer_cost_1043site_41.11pa_15year_det.tex|output/tables/transfer_cost_1043site_41.11pa_30year_det.tex
4,replication/results_in_paper_table_templates/valueObjectiveDecomposition_1043Sites_hmc.tex,results_in_paper/Table4_valueObjectiveDecomposition_1043Sites_hmc.tex,False,False,False,rendered_from_outputs,no results_in_paper table reference available,output/tables/present_value_site_ambiguity_comparison_xi_1.0.tex
5,replication/results_in_paper_table_templates/Shadowprice_mpc.tex,results_in_paper/Table5_Shadowprice_mpc.tex,False,False,False,rendered_from_outputs,no results_in_paper table reference available,replication/derived/carbon_prices.csv
6,replication/results_in_paper_table_templates/present_value_mpc_b0_sites78.tex,results_in_paper/Table6_present_value_mpc_b0_sites78.tex,False,False,False,rendered_from_outputs,no results_in_paper table reference available,output/mpc/day0_present_value_mpc_b0_sites78_xi_10000.0_pee_6.9_unconstrained.tex|output/mpc/day0_present_value_mpc_b0_sites78_xi_1.0_pee_6.5_unconstrained.tex|output/mpc/day0_present_value_mpc_b0_sites78_xi_0.5_pee_6.1_unconstrained.tex
7,replication/results_in_paper_table_templates/transition_prob_b0_y5.tex,results_in_paper/Table7_transition_prob_b0_y5.tex,False,False,False,rendered_from_outputs,no results_in_paper table reference available,replication/derived/mpc_transition_probabilities.csv
8,replication/results_in_paper_table_templates/present_value_mpc_b15_sites78.tex,results_in_paper/Table8_present_value_mpc_b15_sites78.tex,False,False,False,rendered_from_outputs,no results_in_paper table reference available,output/mpc/day0_present_value_mpc_b15_sites78_xi_10000.0_pee_6.9_unconstrained.tex|output/mpc/day0_present_value_mpc_b15_sites78_xi_1.0_pee_6.5_unconstrained.tex|output/mpc/day0_present_value_mpc_b15_sites78_xi_0.5_pee_6.1_unconstrained.tex
9,replication/results_in_paper_table_templates/transition_prob_b15_y5.tex,results_in_paper/Table9_transition_prob_b15_y5.tex,False,False,False,rendered_from_outputs,no results_in_paper table reference available,replication/derived/mpc_transition_probabilities.csv
10,replication/results_in_paper_table_templates/hmm_results_table.tex,results_in_paper/Table10_hmm_results_table.tex,False,False,False,rendered_from_outputs,no results_in_paper table reference available,output/tables/hmm_results_table.tex
11,replication/results_in_paper_table_templates/information_criterion.tex,results_in_paper/Table11_information_criterion.tex,False,False,False,rendered_from_outputs,no results_in_paper table reference available,output/tables/hmm_information_criteria.tex
12,replication/results_in_paper_table_templates/present_value_mpc_constrained_sites78.tex,results_in_paper/Table12_present_value_mpc_constrained_sites78.tex,False,False,False,rendered_from_outputs,no results_in_paper table reference available,output/mpc/day0_present_value_mpc_b0_sites78_xi_10000.0_pee_6.7_constrained.tex|output/mpc/day0_present_value_mpc_b0_sites78_xi_1.0_pee_6.2_constrained.tex|output/mpc/day0_present_value_mpc_b0_sites78_xi_0.5_pee_5.6_constrained.tex|output/mpc/day0_present_value_mpc_b10_sites78_xi_10000.0_pee_6.7_constrained.tex|output/mpc/day0_present_value_mpc_b10_sites78_xi_1.0_pee_6.2_constrained.tex|output/mpc/day0_present_value_mpc_b10_sites78_xi_0.5_pee_5.6_constrained.tex|output/mpc/day0_present_value_mpc_b15_sites78_xi_10000.0_pee_6.7_constrained.tex|output/mpc/day0_present_value_mpc_b15_sites78_xi_1.0_pee_6.2_constrained.tex|output/mpc/day0_present_value_mpc_b15_sites78_xi_0.5_pee_5.6_constrained.tex|output/mpc/day0_present_value_mpc_b20_sites78_xi_10000.0_pee_6.7_constrained.tex|output/mpc/day0_present_value_mpc_b20_sites78_xi_1.0_pee_6.2_constrained.tex|output/mpc/day0_present_value_mpc_b20_sites78_xi_0.5_pee_5.6_constrained.tex|output/mpc/day0_present_value_mpc_b25_sites78_xi_10000.0_pee_6.7_constrained.tex|output/mpc/day0_present_value_mpc_b25_sites78_xi_1.0_pee_6.2_constrained.tex|output/mpc/day0_present_value_mpc_b25_sites78_xi_0.5_pee_5.6_constrained.tex
13,replication/results_in_paper_table_templates/valueObjectiveDecomposition_78Sites_det.tex,results_in_paper/Table13_valueObjectiveDecomposition_78Sites_det.tex,False,False,False,rendered_from_outputs,no results_in_paper table reference available,output/tables/present_value_site78_pa41.11_det.tex
14,replication/results_in_paper_table_templates/transfersCost_1043Sites_hmc_y15.tex,results_in_paper/Table14_transfersCost_1043Sites_hmc_y15.tex,False,False,False,rendered_from_outputs,no results_in_paper table reference available,output/tables/transfer_cost_1043site_41.11pa_15year_det.tex|output/tables/transfer_cost_1043site_41.11pa_15year_hmc_xi_1.0.tex
15,replication/results_in_paper_table_templates/transfersCost_1043Sites_hmc_y30.tex,results_in_paper/Table15_transfersCost_1043Sites_hmc_y30.tex,False,False,False,rendered_from_outputs,no results_in_paper table reference available,output/tables/transfer_cost_1043site_41.11pa_30year_det.tex|output/tables/transfer_cost_1043site_41.11pa_30year_hmc_xi_1.0.tex
16,replication/results_in_paper_table_templates/valueObjectiveDecomposition_1043Sites_hmc_xi2.tex,results_in_paper/Table16_valueObjectiveDecomposition_1043Sites_hmc_xi2.tex,False,False,False,rendered_from_outputs,no results_in_paper table reference available,output/tables/present_value_site_ambiguity_comparison_xi_2.0.tex
17,replication/results_in_paper_table_templates/valueObjectiveDecomposition_1043Sites_hmc_xi0_5.tex,results_in_paper/Table17_valueObjectiveDecomposition_1043Sites_hmc_xi0_5.tex,False,False,False,rendered_from_outputs,no results_in_paper table reference available,output/tables/present_value_site_ambiguity_comparison_xi_0.5.tex
18,replication/results_in_paper_table_templates/value_decomp_comparison.tex,results_in_paper/Table18_value_decomp_comparison.tex,False,False,False,rendered_from_outputs,no results_in_paper table reference available,output/mpc/day0_present_value_mpc_b0_sites78_xi_10000.0_pee_6.9_unconstrained.tex|output/mpc/present_value_mpc_b0_sites78_xi_10000.0_pee_6.9_unconstrained.tex|output/mpc/day0_present_value_mpc_b10_sites78_xi_10000.0_pee_6.9_unconstrained.tex|output/mpc/present_value_mpc_b10_sites78_xi_10000.0_pee_6.9_unconstrained.tex|output/mpc/day0_present_value_mpc_b15_sites78_xi_10000.0_pee_6.9_unconstrained.tex|output/mpc/present_value_mpc_b15_sites78_xi_10000.0_pee_6.9_unconstrained.tex|output/mpc/day0_present_value_mpc_b25_sites78_xi_10000.0_pee_6.9_unconstrained.tex|output/mpc/present_value_mpc_b25_sites78_xi_10000.0_pee_6.9_unconstrained.tex
19,replication/results_in_paper_table_templates/present_value_mpc_b10_sites78.tex,results_in_paper/Table19_present_value_mpc_b10_sites78.tex,False,False,False,rendered_from_outputs,no results_in_paper table reference available,output/mpc/day0_present_value_mpc_b10_sites78_xi_10000.0_pee_6.9_unconstrained.tex|output/mpc/day0_present_value_mpc_b10_sites78_xi_1.0_pee_6.5_unconstrained.tex|output/mpc/day0_present_value_mpc_b10_sites78_xi_0.5_pee_6.1_unconstrained.tex
20,replication/results_in_paper_table_templates/transition_prob_b10_y5.tex,results_in_paper/Table20_transition_prob_b10_y5.tex,False,False,False,rendered_from_outputs,no results_in_paper table reference available,replication/derived/mpc_transition_probabilities.csv
21,replication/results_in_paper_table_templates/present_value_mpc_b25_sites78.tex,results_in_paper/Table21_present_value_mpc_b25_sites78.tex,False,False,False,rendered_from_outputs,no results_in_paper table reference available,output/mpc/day0_present_value_mpc_b25_sites78_xi_10000.0_pee_6.9_unconstrained.tex|output/mpc/day0_present_value_mpc_b25_sites78_xi_1.0_pee_6.5_unconstrained.tex|output/mpc/day0_present_value_mpc_b25_sites78_xi_0.5_pee_6.1_unconstrained.tex
22,replication/results_in_paper_table_templates/transition_prob_b25_y5.tex,results_in_paper/Table22_transition_prob_b25_y5.tex,False,False,False,rendered_from_outputs,no results_in_paper table reference available,replication/derived/mpc_transition_probabilities.csv
23,replication/results_in_paper_table_templates/theta_coefficient.tex,results_in_paper/Table23_theta_coefficient.tex,False,False,False,rendered_from_outputs,no results_in_paper table reference available,output/tables/theta_percentiles_1043.csv
24,replication/results_in_paper_table_templates/gamma_coefficient.tex,results_in_paper/Table24_gamma_coefficient.tex,False,False,False,rendered_from_outputs,no results_in_paper table reference available,output/tables/gamma_percentiles_1043.csv
25,replication/results_in_paper_table_templates/sigma_quantiles.tex,results_in_paper/Table25_sigma_quantiles.tex,False,False,False,rendered_from_outputs,no results_in_paper table reference available,output/tables/sigma_percentiles_1043.csv
